company,education,experience,industry,jobdescription,joblocation,jobtitle,numberofpositions,skills,rating,pay
Confidential,UG: Any Graduate - Any Specialization PG:Any Postgraduate Doctorate:Doctorate Not Required,9 - 12 yrs,IT-Software / Software Services,"Job Description   Send me Jobs like this - Hands-on experience on Object Oriented Java script (OOJS) . - Having worked on Angular.js / BackboneJS, UnderscoreJS, RequireJS / Node.JS - Experience in HTML, CSS is highly desirable. - Hands-on experience on Object Oriented Java script (OOJS) . - Having worked on Angular.js / BackboneJS, UnderscoreJS, RequireJS / Node.JS - Experience in HTML, CSS is highly desirable. Must have : - Object Oriented JavaScript - Javascript - Angular.js - HTML 5 - CSS 2.1 and higher - JSON - Knowledge of JavaScript design patterns Job Responsibilities : - Interactive Development - Multi-Discipline interaction - IA / Creative - Provide insight and feedback to Information Architects and Designers for usability and feasibility of interface designs. Salary: Not Disclosed by Recruiter Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Software Developer Keyskills HTML Javascript CSS JSON Java Design Patterns Usability Angular.js BackboneJS UnderscoreJS RequireJS Node.JS Desired Candidate Profile   Education- UG: Any Graduate - Any Specialization PG:Any Postgraduate Doctorate:Doctorate Not Required Company Profile: Confidential Confidential Download PPT Photo 1   View Contact Details",,Javascript Developer -oojs/angular/node/react - Html/css,,,4,Not Disclosed by Recruiter
Suyash Resource Intelligence,"UG: B.Tech/B.E. - Any Specialization, Computers PG:M.Tech - Any Specialization, Computers, MCA - Computers, MS/M.Sc(Science) - Any Specialization, Computers Doctorate:Doctorate Not Required",7 - 12 yrs,IT-Software / Software Services,"Job Description   Send me Jobs like this * OpenVMS Clustering and configuration * Storage (Digital & Locally attached storage) and SAN * TCPIP, DECnet & LAT (Local Area Network) [Optional: TCPWARE, Multinet] * VAX/Alpha/IA64 Hardware's * VAX and Alpha virtualization * DECscheduler, PCM Salary:INR 20,00,000 - 25,00,000 P.A Industry: IT-Software / Software Services Functional Area: IT Software - Network Administration , Security Role Category:Programming & Design Role:System Analyst Keyskills Storage SAN Open Vms System Engineering vax alpha Desired Candidate Profile Please refer to the Job description above Education- UG: B.Tech/B.E. - Any Specialization, Computers PG:M.Tech - Any Specialization, Computers, MCA - Computers, MS/M.Sc(Science) - Any Specialization, Computers Doctorate:Doctorate Not Required Company Profile: Suyash Resource Intelligence We are recruitment consultants. Download PPT Photo 1   View Contact Details",,System Engineer - Openvms (level 3),,,3.1,"20,00,000 - 25,00,000 P.A"
Confidential,UG: Any Graduate - Any Specialization PG:Any Postgraduate Doctorate:Doctorate Not Required,9 - 12 yrs,IT-Software / Software Services,"Job Description   Send me Jobs like this - Hands-on experience on Object Oriented Java script (OOJS) . - Having worked on Angular.js / BackboneJS, UnderscoreJS, RequireJS / Node.JS - Experience in HTML, CSS is highly desirable. - Hands-on experience on Object Oriented Java script (OOJS) . - Having worked on Angular.js / BackboneJS, UnderscoreJS, RequireJS / Node.JS - Experience in HTML, CSS is highly desirable. Must have : - Object Oriented JavaScript - Javascript - Angular.js - HTML 5 - CSS 2.1 and higher - JSON - Knowledge of JavaScript design patterns Job Responsibilities : - Interactive Development - Multi-Discipline interaction - IA / Creative - Provide insight and feedback to Information Architects and Designers for usability and feasibility of interface designs. Salary: Not Disclosed by Recruiter Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Software Developer Keyskills HTML Javascript CSS JSON Java Design Patterns Usability Angular.js BackboneJS UnderscoreJS RequireJS Node.JS Desired Candidate Profile   Education- UG: Any Graduate - Any Specialization PG:Any Postgraduate Doctorate:Doctorate Not Required Company Profile: Confidential Confidential Download PPT Photo 1   View Contact Details",,Javascript Developer -oojs/angular/node/react - Html/css,,,4,Not Disclosed by Recruiter
Melstar Information Technologies Ltd,,3 - 6 yrs,IT-Software / Software Services,"Job Description   Send me Jobs like this Dear Candidate, We have an urgent requirement for Java, Angular JS Developer position with one of our leading CMMI Level client for Bangalore location. Skills : Java, J2ee, Angular JS, SDLC Position : Java, Angular JS Developer Job Location : Bangalore Job Description : Candidate must have exp in Java with AngularJS with at least 2+ years hands-on experience on these skills. Should be worked on complete phases on projects and aware of the SDLC. Should be very good in communication and flexible to work on Technical skills. Knowledge on automation testing will be good and willingness to work on Testing as well. Protractor tool awareness will be added advantage. Good communication skill If you are interested for this above opening, kindly send me your updated resume in word format by mentioning these below details : Current CTC : Expected CTC : Notice Period : Please send me your confirmation on the same once you received my email. Thanks & Regards, Sofia F. Kadam Sr. Executive Resourcing Melstar Information Technologies Ltd.(The Yash Birla Group) (SEI CMM level III, ISO 9001-2008 Certified) Pune - 411048 Landline : 020 49015563 E-Mail ID : skadam@melstar.com Visit us at : www.melstar.com, www.yashbirlagroup.com Salary: Not Disclosed by Recruiter Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Software Developer Keyskills Java J2Ee Angular js Desired Candidate Profile Please refer to the Job description above Company Profile: Melstar Information Technologies Ltd Melstar is a CMM Level global IT company with its headquarters in Mumbai; India. We have eight software development facilities, with eleven offices worldwide including the US,Europe and India. We offer a unique blend of domain expertise in the field of Banking, Finance, Insurance and Manufacturing. We are engaged in cutting-edge technologies like e-commerce,web development and dot-com projects with strong N-tier approach. We have global partnerships with IBM,Microsoft, Oracle,Informix and other IT Stalwarts. Our strong customer focus can be seen from the prestigious list of clients like Citibank N.A., IBM, Genpact, Standard Chartered, HP etc. Download PPT Photo 1   View Contact Details",,"Opening for Java, Angular JS Developer Position for Bangalore Location",,,1.8,Not Disclosed by Recruiter
honeycomb creative support (P) ltd,"UG: B.Tech/B.E. - Computers, BCA - Computers, B.Sc - Computers PG:M.Tech - Any Specialization, Computers",1 - 3 yrs,IT-Software / Software Services,"Job Description   Send me Jobs like this Develop functional and appealing web- and mobile-based Hybrid Apps based on usability Provide website maintenance and enhancements Use a combination of markup languages to write web pages Write functional requirement documents and specifications Create quality mockups and prototypes on tight timelines Assist back-end developers with coding and troubleshooting Create cascading style sheets (CSS) that are consistent across all browsers and platforms Maintain graphic standards and branding throughout the products interface Stay up-to-date on emerging technologies Promote usability best practices. Required SkillSet :- Proficient understanding of web markup, including HTML5, CSS3 Proficient understanding of client-side scripting and JavaScript frameworks, including jQuery.  Good understanding of {{Depending on the specific case, a developer should have the knowledge of advanced JavaScript libraries and frameworks, such as AngularJS , AJAX . Good understanding of asynchronous request handling, partial page updates, and AJAX Basic knowledge of image authoring tools, to be able to crop, resize, or perform small adjustments on an image. Familiarity with tools such as Photoshop is a plus. Proficient understanding of cross-browser compatibility issues and ways to work around them. Proficient understanding of code Design tools, such as Photoshop, Illustrator [SVG],  Basic PHP Knowledge. Salary:INR 2,00,000 - 3,00,000 P.A Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Software Developer Keyskills JQuery Photoshop Illustrator Javascript Ajax SVG PHP Web Technologies Tool Design Front End HTML5 CSS3 Front End Developer HTML Angular J S UI Developer Desired Candidate Profile Please refer to the Job description above Education- UG: B.Tech/B.E. - Computers, BCA - Computers, B.Sc - Computers PG:M.Tech - Any Specialization, Computers Company Profile: honeycomb creative support (P) ltd Honeycomb Creative Support (P) Ltd., is a leading communication design agency in Bangalore. It was established in 2008 as a pre-media studio with just image cutout and retouching and has now grown to a complete solution provider in communication design for varied corporate clients. Honeycomb is spread across a 4000 sft studio, equipped with state of the art infrastructure and has grown into an expert team of 50+ professionals. The clientele includes advertising agencies, IT and Retail Corporates, Fashion and lifestyle photographers, art galleries, SME's etc. We are winners of the PrintWeek ""Creative Repro company of the year"" for consecutive years. Download PPT Photo 1   View Contact Details",,Front End Developer,,,0,"2,00,000 - 3,00,000 P.A"
Tech Mahindra Ltd.,"UG: B.Tech/B.E. - Any Specialization PG:M.Tech - Any Specialization, MCA - Computers, MS/M.Sc(Science) - Any Specialization Doctorate:Doctorate Not Required",5 - 8 yrs,IT-Software / Software Services,"Job Description   Send me Jobs like this Hi, Trust things are fine at your end. This mail is regarding an opportunity with TechMahindra , for Workday Experience-5-8 Job Location: Bangalore/ Hyderabad/ Chennai Job Description: Workday integration developer to develop interfaces between the Workday and other applications with Studio experience Ability to work independently and work in a team Ability to work remotely and complete the committed tasks on time Strong communication skills (Ask questions upfront if any) Strong analytical skills to troubleshoot issues Strong understanding of HCM processes Ability to document the functional/technical specifications Ability to do thorough unit and functional testing of any changes to the system Three years Development experience with emphasis on web services and/or HR Development experience in APIs, custom EIB, Reports, calculated fields, condition rules, transformations Experience in developing and supporting workday studio integrations, Oxygen XML Experience with web services, file transfers, encryption protocols  Certified to work as a Workday developer Strong preference Request you to share your updated profile with below information facilitating us to evaluate your candidature / fitment better. Total Experience Current CTC Expected CTC Notice Period Recruitment team Look forward to hearing from you. Regards, TechMahindra Salary: Not Disclosed by Recruiter Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Team Lead/Technical Lead Keyskills workday Desired Candidate Profile Please refer to the Job description above Education- UG: B.Tech/B.E. - Any Specialization PG:M.Tech - Any Specialization, MCA - Computers, MS/M.Sc(Science) - Any Specialization Doctorate:Doctorate Not Required Company Profile: Tech Mahindra Ltd. Tech Mahindra is part of the US $15.4 billion Mahindra Group and is a leading global systems integrator and business transformation consulting organization, focused primarily on the telecommunications industry. Tech Mahindra helps companies innovate and transform by leveraging its unique insights, differentiated services and flexible partnering models. This has helped customers reduce operating costs, generate new revenue streams and gain competitive advantage. Tech Mahindra expanded its IT portfolio in 2009 by acquiring the leading global business and information technology services company, Mahindra Satyam (earlier known as Satyam Computer Services). Tech Mahindra's capabilities spread across a broad spectrum, including Business Support Systems (BSS), Operations Support Systems (OSS), Network Design & Engineering, Next Generation Networks, Mobility Solutions, Security consulting and Testing. Tech Mahindra's solutions portfolio includes Consulting, Application Development & Management, Network Services, Solution Integration, Product Engineering, Infrastructure Managed Services, Remote Infrastructure Management and BSG (comprises BPO, Services and Consulting). With an array of service offerings for TSPs, TEMs and ISVs, Tech Mahindra is a chosen transformation partner for several leading wireline, wireless and broadband operators in Europe, Asia-Pacific and North America. Tech Mahindra has successfully implemented more than 16 Greenfield Operations globally and has over 130 active customer engagements mostly in the Telecom sector. The company has been involved in about 8 transformation programs of incumbent telecom operators. Tech Mahindra has a global footprint through operations in more than 31 countries with 17 sales offices and 15 delivery centers. Assessed at SEI CMMi Level 5, Tech Mahindra's track record for value delivery is supported by over 40,500 professionals who provide a unique blend of culture, domain expertise and in depth technology skill sets. Its development centers are ISO 9001:2008 & BS7799 certified. Download PPT Photo 1   View Contact Details",,Opportunity for Workday @ Bangalore/hyderabad,,,3,Not Disclosed by Recruiter
Local Job Search,UG: Any Graduate - Any Specialization Doctorate:Doctorate Not Required,0 - 0 yrs,Government / Defence,"Job Description   Send me Jobs like this Any graduate or non-graduate candidates can apply to government jobs such as bank jobs, army jobs, and teaching jobs. Salary:INR 3,00,000 - 8,00,000 P.A Industry: Government / Defence Functional Area: Defence Forces , Security Services Role Category:Other Role:Army/Navy/Airforce Personnel Keyskills Bank Jobs Army Jobs Teaching Jobs Freshers Government Jobs Desired Candidate Profile Please refer to the Job description above Education- UG: Any Graduate - Any Specialization Doctorate:Doctorate Not Required Company Profile: Local Job Search http://www.fresherstime.com/ Download PPT Photo 1   View Contact Details",,Government Jobs for Freshers in India,,,0,"3,00,000 - 8,00,000 P.A"
Confidential,UG: Any Graduate - Any Specialization PG:Any Postgraduate Doctorate:Doctorate Not Required,9 - 12 yrs,IT-Software / Software Services,"Job Description   Send me Jobs like this - Hands-on experience on Object Oriented Java script (OOJS) . - Having worked on Angular.js / BackboneJS, UnderscoreJS, RequireJS / Node.JS - Experience in HTML, CSS is highly desirable. - Hands-on experience on Object Oriented Java script (OOJS) . - Having worked on Angular.js / BackboneJS, UnderscoreJS, RequireJS / Node.JS - Experience in HTML, CSS is highly desirable. Must have : - Object Oriented JavaScript - Javascript - Angular.js - HTML 5 - CSS 2.1 and higher - JSON - Knowledge of JavaScript design patterns Job Responsibilities : - Interactive Development - Multi-Discipline interaction - IA / Creative - Provide insight and feedback to Information Architects and Designers for usability and feasibility of interface designs. Salary: Not Disclosed by Recruiter Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Software Developer Keyskills HTML Javascript CSS JSON Java Design Patterns Usability Angular.js BackboneJS UnderscoreJS RequireJS Node.JS Desired Candidate Profile   Education- UG: Any Graduate - Any Specialization PG:Any Postgraduate Doctorate:Doctorate Not Required Company Profile: Confidential Confidential Download PPT Photo 1   View Contact Details",,Javascript Developer -oojs/angular/node/react - Html/css,,,4,Not Disclosed by Recruiter
Confidential,UG: Any Graduate - Any Specialization PG:Any Postgraduate Doctorate:Doctorate Not Required,9 - 12 yrs,IT-Software / Software Services,"Job Description   Send me Jobs like this - Hands-on experience on Object Oriented Java script (OOJS) . - Having worked on Angular.js / BackboneJS, UnderscoreJS, RequireJS / Node.JS - Experience in HTML, CSS is highly desirable. - Hands-on experience on Object Oriented Java script (OOJS) . - Having worked on Angular.js / BackboneJS, UnderscoreJS, RequireJS / Node.JS - Experience in HTML, CSS is highly desirable. Must have : - Object Oriented JavaScript - Javascript - Angular.js - HTML 5 - CSS 2.1 and higher - JSON - Knowledge of JavaScript design patterns Job Responsibilities : - Interactive Development - Multi-Discipline interaction - IA / Creative - Provide insight and feedback to Information Architects and Designers for usability and feasibility of interface designs. Salary: Not Disclosed by Recruiter Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Software Developer Keyskills HTML Javascript CSS JSON Java Design Patterns Usability Angular.js BackboneJS UnderscoreJS RequireJS Node.JS Desired Candidate Profile   Education- UG: Any Graduate - Any Specialization PG:Any Postgraduate Doctorate:Doctorate Not Required Company Profile: Confidential Confidential Download PPT Photo 1   View Contact Details",,Javascript Developer -oojs/angular/node/react - Html/css,,,4,Not Disclosed by Recruiter
Confidential,UG: Any Graduate - Any Specialization PG:Any Postgraduate Doctorate:Doctorate Not Required,9 - 12 yrs,IT-Software / Software Services,"Job Description   Send me Jobs like this - Hands-on experience on Object Oriented Java script (OOJS) . - Having worked on Angular.js / BackboneJS, UnderscoreJS, RequireJS / Node.JS - Experience in HTML, CSS is highly desirable. - Hands-on experience on Object Oriented Java script (OOJS) . - Having worked on Angular.js / BackboneJS, UnderscoreJS, RequireJS / Node.JS - Experience in HTML, CSS is highly desirable. Must have : - Object Oriented JavaScript - Javascript - Angular.js - HTML 5 - CSS 2.1 and higher - JSON - Knowledge of JavaScript design patterns Job Responsibilities : - Interactive Development - Multi-Discipline interaction - IA / Creative - Provide insight and feedback to Information Architects and Designers for usability and feasibility of interface designs. Salary: Not Disclosed by Recruiter Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Software Developer Keyskills HTML Javascript CSS JSON Java Design Patterns Usability Angular.js BackboneJS UnderscoreJS RequireJS Node.JS Desired Candidate Profile   Education- UG: Any Graduate - Any Specialization PG:Any Postgraduate Doctorate:Doctorate Not Required Company Profile: Confidential Confidential Download PPT Photo 1   View Contact Details",,Javascript Developer -oojs/angular/node/react - Html/css,,,4,Not Disclosed by Recruiter
Confidential,UG: Any Graduate - Any Specialization PG:Any Postgraduate Doctorate:Doctorate Not Required,9 - 12 yrs,IT-Software / Software Services,"Job Description   Send me Jobs like this - Hands-on experience on Object Oriented Java script (OOJS) . - Having worked on Angular.js / BackboneJS, UnderscoreJS, RequireJS / Node.JS - Experience in HTML, CSS is highly desirable. - Hands-on experience on Object Oriented Java script (OOJS) . - Having worked on Angular.js / BackboneJS, UnderscoreJS, RequireJS / Node.JS - Experience in HTML, CSS is highly desirable. Must have : - Object Oriented JavaScript - Javascript - Angular.js - HTML 5 - CSS 2.1 and higher - JSON - Knowledge of JavaScript design patterns Job Responsibilities : - Interactive Development - Multi-Discipline interaction - IA / Creative - Provide insight and feedback to Information Architects and Designers for usability and feasibility of interface designs. Salary: Not Disclosed by Recruiter Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Software Developer Keyskills HTML Javascript CSS JSON Java Design Patterns Usability Angular.js BackboneJS UnderscoreJS RequireJS Node.JS Desired Candidate Profile   Education- UG: Any Graduate - Any Specialization PG:Any Postgraduate Doctorate:Doctorate Not Required Company Profile: Confidential Confidential Download PPT Photo 1   View Contact Details",,Javascript Developer -oojs/angular/node/react - Html/css,,,4,Not Disclosed by Recruiter
Covalense Technologies Private Limited,,5 - 9 yrs,IT-Software / Software Services,"Job Description   Send me Jobs like this Experience: 5yrs. - 9yrs. Job Description: * Engineering Graduate/Post-Graduate with 6-9 years of experience in Java Programming with strong in Object Oriented concepts. * Good Exposure to spring, hibernate, web services, Threading, Socket Programming, Collections, Data Structure and IO with strong knowledge on either Spring Batch or JEE frameworks.. * Experienced in XML configuration; setting up Eclipse or any other IDEs with basic knowledge of SQL. * Energetic with strong analytical, communication and interpersonal skills. * Ability to learn and apply the new concepts quickly. Preferred Skills * Working knowledge of Oracle/DB2, ClearCase/CVS. * Experienced in test tools like JUNIT. * Ability to build tools like Ant and Maven. Salary:INR 7,50,000 - 15,00,000 P.A Industry: IT-Software / Software Services Functional Area: IT Software - Client/Server Programming Role Category:Programming & Design Role:Team Lead/Technical Lead Keyskills Hibernate Spring Java Maven JUnit Ant JEE Eclipse Oracle Web Services AngularJS Desired Candidate Profile Please refer to the Job description above Company Profile: Covalense Technologies Private Limited ïƒ˜ Covalense is an IT services and solutions company, established in 2006 and now with the 300 + professionals are working across the location. ïƒ˜ Our office presence is in New Zealand, Australia , US and India. ïƒ˜ Bangalore, New Zealand is majorly focusing on End-to-End Oracle Telecom stack and Hyderabad, New Zealand focusing on Microsoft, Open Source, Mobility Apps (MOM Services) development ïƒ˜ There are multiple project engagements with Tier 1 SI partners in BLR and Gurgaon. ïƒ˜ Our portfolio majorly consists of telecom implementations along with a wide selection of industry verticals. Download PPT Photo 1   View Contact Details",,Java - SSE / Technical Lead,,,3.4,"7,50,000 - 15,00,000 P.A"
Altisource Business Solutions Pvt Ltd,UG: Any Graduate - Any Specialization PG:CA Doctorate:Doctorate Not Required,3 - 7 yrs,IT-Software / Software Services,"Job Description   Send me Jobs like this Roles & Responsibilities *Ensure all RFCs have all the required detail and approvals in place prior to the same being presented to the CAB for approval *Ensure all logged RFCs are updated onto the ticketing system with the progress that occurs *Ensure all Emergency Changes are efficiently processed and communicated to relevant parties *Ensure all approved changes are communicated to all relevant parties involved in the service *Liaise with all necessary parties to co-ordinate the change building, testing and implementation in line with schedules *Ensure all RFCs are closed within a timely manner post completion of the PIR. *Escalate where necessary any issues that may arise within the life cycle of a change request Key Requirements *Experience of working within Change environment with Change Management Experience *Ability to work in a team & to support team members *Committed to customer satisfaction & ownership of issues *Communication & interpersonal skills including listening, building rapport, establishing empathy & demonstrating awareness of internal & external issues in a calm & polite manner *Excellent time management - ability to work on own initiative *A thorough understanding and experience of ITIL based change management Salary: Not Disclosed by Recruiter Industry: IT-Software / Software Services Functional Area: IT Software - Network Administration , Security Role Category:Admin/Maintenance/Security/Datawarehousing Role:Technical Support Engineer Keyskills Change Management Life Cycle Technical Services Customer Satisfaction Interpersonal Skills Time Management Desired Candidate Profile Qualifications Skills Desired*ITIL Foundation Qualification*Experience in using CA Service Desk, or similar Service Management Tools*Bachelors degree with minimum 3 to 7 years of work experience in change management*Good written and verbal communication Education- UG: Any Graduate - Any Specialization PG:CA Doctorate:Doctorate Not Required Company Profile: Altisource Business Solutions Pvt Ltd Altisource Business Solutions Pvt Ltd Download PPT Photo 1   View Contact Details",,Technical Services Engineer,,,3,Not Disclosed by Recruiter
Confidential,UG: Any Graduate - Any Specialization PG:Any Postgraduate Doctorate:Doctorate Not Required,9 - 12 yrs,IT-Software / Software Services,"Job Description   Send me Jobs like this - Hands-on experience on Object Oriented Java script (OOJS) . - Having worked on Angular.js / BackboneJS, UnderscoreJS, RequireJS / Node.JS - Experience in HTML, CSS is highly desirable. - Hands-on experience on Object Oriented Java script (OOJS) . - Having worked on Angular.js / BackboneJS, UnderscoreJS, RequireJS / Node.JS - Experience in HTML, CSS is highly desirable. Must have : - Object Oriented JavaScript - Javascript - Angular.js - HTML 5 - CSS 2.1 and higher - JSON - Knowledge of JavaScript design patterns Job Responsibilities : - Interactive Development - Multi-Discipline interaction - IA / Creative - Provide insight and feedback to Information Architects and Designers for usability and feasibility of interface designs. Salary: Not Disclosed by Recruiter Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Software Developer Keyskills HTML Javascript CSS JSON Java Design Patterns Usability Angular.js BackboneJS UnderscoreJS RequireJS Node.JS Desired Candidate Profile   Education- UG: Any Graduate - Any Specialization PG:Any Postgraduate Doctorate:Doctorate Not Required Company Profile: Confidential Confidential Download PPT Photo 1   View Contact Details",,Javascript Developer -oojs/angular/node/react - Html/css,,,4,Not Disclosed by Recruiter
Confidential,UG: Any Graduate - Any Specialization PG:Any Postgraduate Doctorate:Doctorate Not Required,9 - 12 yrs,IT-Software / Software Services,"Job Description   Send me Jobs like this - Hands-on experience on Object Oriented Java script (OOJS) . - Having worked on Angular.js / BackboneJS, UnderscoreJS, RequireJS / Node.JS - Experience in HTML, CSS is highly desirable. - Hands-on experience on Object Oriented Java script (OOJS) . - Having worked on Angular.js / BackboneJS, UnderscoreJS, RequireJS / Node.JS - Experience in HTML, CSS is highly desirable. Must have : - Object Oriented JavaScript - Javascript - Angular.js - HTML 5 - CSS 2.1 and higher - JSON - Knowledge of JavaScript design patterns Job Responsibilities : - Interactive Development - Multi-Discipline interaction - IA / Creative - Provide insight and feedback to Information Architects and Designers for usability and feasibility of interface designs. Salary: Not Disclosed by Recruiter Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Software Developer Keyskills HTML Javascript CSS JSON Java Design Patterns Usability Angular.js BackboneJS UnderscoreJS RequireJS Node.JS Desired Candidate Profile   Education- UG: Any Graduate - Any Specialization PG:Any Postgraduate Doctorate:Doctorate Not Required Company Profile: Confidential Confidential Download PPT Photo 1   View Contact Details",,Javascript Developer -oojs/angular/node/react - Html/css,,,4,Not Disclosed by Recruiter
Confidential,UG: Any Graduate - Any Specialization PG:Any Postgraduate Doctorate:Doctorate Not Required,9 - 12 yrs,IT-Software / Software Services,"Job Description   Send me Jobs like this - Hands-on experience on Object Oriented Java script (OOJS) . - Having worked on Angular.js / BackboneJS, UnderscoreJS, RequireJS / Node.JS - Experience in HTML, CSS is highly desirable. - Hands-on experience on Object Oriented Java script (OOJS) . - Having worked on Angular.js / BackboneJS, UnderscoreJS, RequireJS / Node.JS - Experience in HTML, CSS is highly desirable. Must have : - Object Oriented JavaScript - Javascript - Angular.js - HTML 5 - CSS 2.1 and higher - JSON - Knowledge of JavaScript design patterns Job Responsibilities : - Interactive Development - Multi-Discipline interaction - IA / Creative - Provide insight and feedback to Information Architects and Designers for usability and feasibility of interface designs. Salary: Not Disclosed by Recruiter Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Software Developer Keyskills HTML Javascript CSS JSON Java Design Patterns Usability Angular.js BackboneJS UnderscoreJS RequireJS Node.JS Desired Candidate Profile   Education- UG: Any Graduate - Any Specialization PG:Any Postgraduate Doctorate:Doctorate Not Required Company Profile: Confidential Confidential Download PPT Photo 1   View Contact Details",,Javascript Developer -oojs/angular/node/react - Html/css,,,4,Not Disclosed by Recruiter
Aforeserve.com Ltd.,,4 - 8 yrs,IT-Software / Software Services,"Job Description   Send me Jobs like this Looking for Java Developer Min Exp Required: 4-8 Yrs Salary: Depends on knowledge & Experience Essential: Core Java Development & Architecture Data Encryption Mechanism REST API development & JSON Desired/Preferred: Knowledge of SNOMED,ICD 10, HIPPA Skills in algorithm design Skills in Hadoop, Mongo DB Salary:INR 4,00,000 - 8,00,000 P.A Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Software Developer Keyskills Core Java Rest Hadoop JSON Desired Candidate Profile Please refer to the Job description above Company Profile: Aforeserve.com Ltd. IT & IT Solutions Download PPT Photo 1   View Contact Details",,Java Developer Bangalore,4,,2.4,"4,00,000 - 8,00,000 P.A"
EXL Services.com ( I ) Pvt. Ltd.,,2 - 4 yrs,BPO / Call Centre / ITES,"Job Description   Send me Jobs like this  Looking candidates with Accounts Receivables experience end to end. processing sales order invoice and applying cash. Looking candidates with Billing or Cash Apps experience. Good Communication skills required. Should be ready to work in 4PM - 1AM shift.(Transportation Provided both the sides). Interested candidates please walk-in for interview at 3 PM onwards. Salary:INR 50,000 - 2,75,000 P.A Industry: BPO / Call Centre / ITES Functional Area: Accounts , Finance , Tax , Company Secretary , Audit Role Category:Accounts Role:Accounts Executive/Accountant Keyskills Accounting Accounts Receivable Invoicing OTC order to cash O2C AR Billing Desired Candidate Profile Please refer to the Job description above Company Profile: EXL Services.com ( I ) Pvt. Ltd. EXL (Nasdaq:EXLS) is a leading business process solutions company that helps companies drive business impact and adapt faster to the changing global marketplace. EXL provides operations management, embedded analytics and technology platforms to organizations in the banking and financial services, healthcare, insurance, utilities, transportation and logistics, and travel industries. With more than 21,000 people around the world, we work with our clients as strategic partners to execute operations, identify opportunities to gain a competitive edge, and create new channels for growth and savings. Headquartered in New York and operational since 1999, EXL is present in the U.S., U.K., Singapore, Romania, the Philippines, India, Germany, Czech Republic and Bulgaria. For more information, visit www.exlservice.com. Download PPT Photo 1   View Contact Details",,Associate/senior Associate,5,,3.1,"50,000 - 2,75,000 P.A"
Black and White Business Solutions Pvt Ltd,"UG: B.Tech/B.E. - Any Specialization, B.Sc - Any Specialization PG:M.Tech - Any Specialization, MCA - Computers Doctorate:Doctorate Not Required",3 - 5 yrs,IT-Software / Software Services,"Job Description   Send me Jobs like this We are looking for .Net Developer role for one of our MNC Client in Bangalore location. Candidate should be interested to work in Contract to Hire / Contract roles(Long term/Short term). Skills we are looking .Net,C#,SQL,MVC (Must) MVC at least 1.5 yrs experience Experience :- 3 to 5 yrs Location :- Banghmane Tech Park,Bangalore Notice Period :- Immediate to 15 days max Week days Face to Face Interview. Contract duration: 6 Months & Extendable Salary :- as per company standard Interested candidates can send across their updated profiles to: ananya@blackwhite.in or can call @ 080-67610230 for further details. Salary: Not Disclosed by Recruiter Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Software Developer Keyskills C# MVC .Net SQL Desired Candidate Profile Please refer to the Job description above Education- UG: B.Tech/B.E. - Any Specialization, B.Sc - Any Specialization PG:M.Tech - Any Specialization, MCA - Computers Doctorate:Doctorate Not Required Company Profile: Black and White Business Solutions Pvt Ltd Leading Software Giant. Incorporated in 2006, Black and White Business solutions has gradually developed today into a leading provider of manpower for some of the fortune 500 companies for their junior/ middle / senior and executive requirements. At Black and White Business Solutions, our sole job is to find individuals who are driven to succeed, and match them with companies that know how to reward success.Considered one of the top recruitment firms in Bangalore. We are the pioneer of organized recruitment services in India. Over the years we have played the role as preferred recruitment partners to multinationals and leading Indian businesses which enabled us to emerge as the leading recruitment brand nationally. We follow 360 degree holistic view of a candidate's qualification, experience and most important personality traits. We boast on the fact that we and have helped careers of over thousands of professionals through our work. Devoted to both clients and candidates, we power the world of work. Download PPT Photo 1   View Contact Details",,.Net Developer (3 to 5 yrs) Bangalore (c2h),,,4.1,Not Disclosed by Recruiter
